Region,Population_Density,Poverty_Level,Police_Presence,Crime_Rate_Category
Region_A,1663,73,71,Low
Region_B,719,62,57,High
Region_C,1051,49,80,Low
Region_D,1013,61,94,Between
Region_E,1393,78,37,High
Region_F,717,61,42,Low
Region_G,1424,61,76,Between
Region_H,1465,69,39,High
Region_I,1792,32,23,Low
Region_J,998,69,92,Low
Region_K,903,31,72,Between
Region_L,1878,41,95,High
Region_M,1300,35,29,Low
Region_N,1138,41,48,High
Region_O,1517,43,51,Low
Region_P,616,25,90,Between
Region_Q,887,72,68,High
Region_R,1010,23,28,Low
Region_S,1618,54,49,Between
Region_T,1447,26,29,High
Region_U,1479,26,28,Low
Region_V,749,61,16,Low
Region_W,1892,78,90,Between
Region_X,1138,32,17,High
Region_Y,1875,51,95,Between
Region_Z,944,41,42,High